,Gene,Fold Change,Neg Log P-Value,p-values,Distance
0,A1BG,-0.06038116936736415,0.04136006776928827,0.9091591883035798,0.07318839265929013
1,A2M,-0.10738227837683212,0.08476081736247412,0.822695615249748,0.1368040564798945
2,A2M;PZP,0.20604084761642838,0.14797158768273885,0.7112600440280933,0.25366990686292834
3,AAAS,0.18246017211828303,0.09673773907128831,0.8003174032678428,0.2065185332362646
4,AAMP,0.7434297914564212,0.20212989293014116,0.6278705412258782,0.7704182944614492
5,AARS1,-0.06668190199120616,0.2762082988234424,0.5294094645691756,0.28414345037692645
6,AARS2,-0.7590945167524623,1.4807839789928958,0.03305339099524778,1.6640149271583136
7,AASDHPPT,-0.4186673823429743,0.3578441543407298,0.43868809182996427,0.55075840060207
8,ABCA1,0.26503216873857127,0.2765919586622681,0.5289419857761295,0.3830733116035367
9,ABCB10,-0.129707437730314,0.10312059939982658,0.788641089164972,0.16570418649853963
10,ABCB7,-0.9668058697476525,1.5498794039189234,0.028191656562246956,1.82670187947311
11,ABCD3,-0.2131862942293452,0.18282324456166482,0.656412368127219,0.28084290056772887
12,ABCE1,-0.3520737224173871,0.7188188321055544,0.191065012863158,0.8004101569860471
13,ABCF1,-0.599281581303929,0.4053261761277308,0.3932546113126201,0.7234830493829596
14,ABHD10,0.2100984028763957,0.10693800628670869,0.7817393866384085,0.23574790790119096
15,ABHD11,-0.04406906654437037,0.06152218130484453,0.8679162479091729,0.07567735076360896
16,ABHD17B,-0.6815740583720356,0.6128571048337325,0.2438613059041272,0.9165898908404518
17,ABI3BP,0.16654450331086323,0.17049533048646653,0.6753123148818102,0.23833952525913862
18,ABRACL,-0.8839860313962014,0.8708649438169466,0.13462789525774843,1.2409017100773532
19,ACAA1,0.21154590688714237,0.1705957238629551,0.6751562248304868,0.27176197622373355
20,ACADM,1.5934826038461143,0.9514354056937362,0.11183161437218765,1.855913828809893
21,ACADS,-0.9289519866336917,0.9363208632790425,0.11579215502390694,1.3189573732620377
22,ACAN,-0.19627224331271265,0.1367047659209887,0.7299535652197219,0.23918818223423371
23,ACAT1,1.0708518489185064,0.6573670850215407,0.22010652382858545,1.2565250362813711
24,ACAT2,0.07983602605287388,0.049955990236903,0.8913412587151526,0.09417744961754222
25,ACBD3,0.3734665527796537,0.36234055505347906,0.43416963349801596,0.5203536719209167
26,ACE,0.014814696721060727,0.013583363609205054,0.9692072103713145,0.02009932849318314
27,ACHE,-0.27983136336616354,0.3576135615423023,0.4389210793054862,0.4540848503554549
28,ACLY,0.18048367934759568,0.8532300894692822,0.1402070689886993,0.8721100527379587
29,ACO1,0.9495227303489351,0.672263994490454,0.2126845807672592,1.1634140680503902
30,ACO2,-1.629390666653265,0.2877848682967148,0.5154839309792165,1.6546099464820487
31,ACOT7,0.8933159764812544,1.8803907061622134,0.01317071323030104,2.081797934876938
32,ACP1,-0.509080851576126,0.6891165002116992,0.20458957481960421,0.8567641824361558
33,ACP5,-0.10448328597459167,0.05347939180200815,0.8841391224892283,0.11737462415514266
34,ACP7,-0.8136657048030571,0.39151261502373963,0.40596387098051084,0.9029584746240452
35,ACSL3;ACSL4,0.7758162958458996,0.6231286837836874,0.23816136798956192,0.9950780278219609
36,ACSL4,0.0434005735016747,0.0261044839069367,0.9416630210727049,0.05064636078063048
37,ACTA2;ACTB;ACTG1;ACTG2,0.08802228226615583,0.3110046949535685,0.48864707678034863,0.3232210427223218
38,ACTA2;ACTB;ACTG1;ACTG2;POTEF,-0.16753924470926052,0.22056847789298012,0.6017713704103705,0.27698348679619067
39,ACTA2;ACTG2,-0.17392714788939045,1.5024712336192683,0.03144334684781874,1.5125046977204217
40,ACTB;ACTG1,-0.42635256437023017,1.8026442461461056,0.015752727262965546,1.8523776038671846
41,ACTB;ACTG1;ACTG2,-0.4248828885415641,1.2200930080939767,0.060243055630234264,1.291956817148016
