Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_24hr_DMSO_20240315120525.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep1_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep2_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\A2058_Media\tc_A2058_Media_Rep3_24hr_Torin1_inj3.mzML
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	52881.9				327150	107421	84918.7					2.19924e+06		62159.1		53280.9	40297	521799
A4D1P6	A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	179198	121862		161000		78044.4	161450	265545	81994.1					189135		223910		93946.6
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1						118763												
A6NCE7;Q9GZQ8;Q9H492	A6NCE7;Q9GZQ8;Q9H492	MLP3A_HUMAN;MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3A;MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	364496	218970	458555	403488	306394	352699	292289	371234	418763	494887	579993		140373	343730	321215	379398	580694	489646
A6NHG4;P30046	P30046;A6NHG4	DDTL_HUMAN;DOPD_HUMAN	DDT;DDTL	D-dopachrome decarboxylase-like protein							108225	72091.3	248636				88846.7	144411		472823	119452	95721.7
A6NHL2;P68366;Q9BQE3	Q9NY65;Q71U36;P0DPH8;P68366;P0DPH7;Q6PEY2;A6NHL2;Q9BQE3;P68363	TBA1C_HUMAN;TBA4A_HUMAN;TBAL3_HUMAN	TUBA1C;TUBA4A;TUBAL3	Tubulin alpha chain-like 3	3.07234e+06	3.30971e+06	2.12668e+06	3.28191e+06	956468	1.55244e+06	4.02825e+06	4.96023e+06	2.88054e+06	4.07174e+06	992774	1.07933e+06	5.48765e+06	3.37753e+06	4.498e+06	3.10843e+06	1.9289e+06	1.57099e+06
A6NKH3;P61513	P61513;A6NKH3	RL37A_HUMAN;RL37L_HUMAN	RPL37A;RPL37AP8	Putative 60S ribosomal protein L37a-like protein	622141	142911	146980	87822.3		48223.1	362149	295380						538919		103799	29572.4	
A8MUV8	A8MUV8	ZN727_HUMAN	ZNF727	Putative zinc finger protein 727	2.67084e+06	3.04356e+06	1.7684e+06	2.79244e+06	345166	333434	1.82074e+06	2.18221e+06	1.56057e+06	2.79599e+06	381815	527391	1.2511e+06	1.50124e+06	1.9762e+06	739320	413873	282424
A8MWD9;P62308	A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	336289	462151	745791	553952	405160	944624	256097	368357	528398	532573	258030	336118	649632	660196	877894	842219	855434	768357
A8MWL7;Q9NUH8	A8MWL7;Q9NUH8	TM14B_HUMAN;TM14D_HUMAN	TMEM14B;TMEM14DP	Transmembrane protein 14DP					144910													
B9A064	B9A064	IGLL5_HUMAN	IGLL5	Immunoglobulin lambda-like polypeptide 5	1.90286e+06	3.85046e+06	3.41674e+06	2.18802e+06	694729	1.44679e+06	3.39208e+06	3.14527e+06	2.48107e+06	1.83879e+06	1.25553e+06		1.04635e+06	1.34176e+06	1.9825e+06	797791	1.72949e+06	1.18422e+06
