,Gene,Fold Change,Neg Log P-Value,p-values,Distance
0,A1BG,0.4429842104618693,0.37645839668127035,0.4202827868148208,0.5813397759919395
1,A2M,0.5505923921125557,0.531195822695186,0.29430942980090785,0.7650627322651665
2,A2M;PZP,0.5956058036549656,0.5101234147525983,0.30894173788490953,0.7842016141441746
3,AAAS,-0.6133022149629745,1.4575390111713171,0.03487072595612159,1.5813157736406578
4,AAMP,0.4148379285381836,0.9371563961593763,0.11556959832493398,1.0248671220291345
5,AARS1,-0.22305264106438472,0.7717805567943761,0.16912953047189255,0.8033664845707932
6,AARS2,0.28171153786866654,0.31423136101383575,0.4850300420355368,0.4220222018009677
7,AASDHPPT,0.07144427424929489,0.09984257785173499,0.79461621333807,0.12277143265063019
8,ABCA1,0.6412581735867242,0.6197357821162149,0.24002927750027225,0.8917872419063743
9,ABCB10,-0.025854885036721953,0.08768672920718544,0.8171716113841654,0.09141902186807939
10,ABCB7,-0.04267387895398045,0.5819019856369159,0.2618773963229083,0.5834646354605945
11,ABCD3,0.3786575761229365,1.2546331390451526,0.055637404386953276,1.3105288526185108
12,ABCE1,0.8902882171544348,0.7868587851093547,0.16335830362655016,1.1881750112284772
13,ABCF1,0.37701879692023255,0.3165475774865563,0.48245012416905153,0.4922860368157794
14,ABHD10,-0.17711069460030515,0.5712520825451748,0.2683786212546996,0.5980778711455572
15,ABHD11,-0.0017753699537159662,0.0044512451910807375,0.9898029749890288,0.004792235618547655
16,ABHD17B,-0.17714480269895105,0.5257615799849639,0.29801520313623653,0.5548022351356706
17,ABI3BP,0.3687484796375884,0.4289646428876023,0.3724220249252994,0.5656731442120274
18,ABRACL,-0.6477329887166992,0.36635569449185224,0.430174146306728,0.7441602781380332
19,ACAA1,0.1426368076748652,0.5969991968967323,0.2529302673662754,0.6138023297438842
20,ACADM,0.049510366058715505,0.10522421306107407,0.7848303459103179,0.1162902032055595
21,ACADS,0.8560874159072718,0.7908614996560376,0.16185961399408968,1.1654816923971765
22,ACAN,0.4268016024925778,0.7345323716297415,0.18427551277733445,0.849527758735549
23,ACAT1,-0.1473393048986651,0.4621624608456891,0.3450146521389161,0.48508041702687293
24,ACAT2,-0.548224805252044,0.7347389738497764,0.1841878702275591,0.916728856744165
25,ACBD3,0.7681289311721287,0.966145607249762,0.10810714363774566,1.2342849708684167
26,ACE,-0.009396400053038434,0.03431201928929068,0.9240340622379309,0.03557537071718855
27,ACHE,0.5486509379536564,0.8000317580145717,0.15847773005423188,0.9700869371088929
28,ACLY,-0.13182990548929752,0.3855148054117231,0.4116093150055382,0.4074319442225362
29,ACO1,-0.06638524032338466,0.27129818403362765,0.535428908945154,0.2793021747010532
30,ACO2,1.7780533511455197,0.7910165377884162,0.1618018422870305,1.9460680570253923
31,ACOT7,-0.18917220762743625,0.8206923680032232,0.15111501966415541,0.8422126139149043
32,ACP1,-0.9194606564034196,0.755267387015489,0.17568416262784373,1.1898893749265145
33,ACP5,-0.2625224532297068,1.3304548589193126,0.04672455146978622,1.3561077280480898
34,ACP7,-0.3792963469674113,1.3128920267089987,0.048652815016133076,1.3665837671430483
35,ACSL3;ACSL4,-0.8914180858518588,1.1412998354470147,0.07222709779786081,1.4481683321268888
36,ACSL4,1.1769984298047778,0.7844213188193164,0.1642777254858263,1.4144405640327018
37,ACTA2;ACTB;ACTG1;ACTG2,0.3251161225961994,0.6504438417211126,0.22364343716005713,0.7271710145522212
38,ACTA2;ACTB;ACTG1;ACTG2;POTEF,-0.15055086869510248,1.2895710474705946,0.051336818726989975,1.2983293305395425
39,ACTA2;ACTG2,0.30347402608129315,1.0230273158360181,0.09483588124658421,1.0670901430772552
40,ACTB;ACTG1,-0.11890111912699908,0.8294600325814301,0.14809485382945678,0.8379387935760223
41,ACTB;ACTG1;ACTG2,0.2258760409607845,0.4141584714612821,0.3853377245761664,0.47174911273182446
42,ACTB;ACTG1;ACTG2;POTEJ,-0.010307068998979929,0.03761906831818948,0.9170244849640448,0.03900551207814532
43,ACTB;ACTG1;POTEF,0.447732391571094,0.9070511371394603,0.1238650729774122,1.0115364846845414
44,ACTB;ACTG1;POTEJ,-0.02019963711394368,0.09652450027211988,0.80071045598381,0.09861543739353125
45,ACTBL2,0.11358808371210927,0.32487926180963755,0.47328281800928834,0.3441638962984993
