Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep1_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_24hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep2_24hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_1hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_1hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_6hr_DMSO.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_6hr_Torin1.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_24hr_DMSO_20240304160237.mzML	H:\Tyler_Cooper\SFRP1_2024_Eclipse_DIA\C8161_Media\tc_C8161_Media_Rep3_24hr_Torin1.mzML
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	464961	676965	457230	482953	517355	459363	510217	632395	702639	291655	459935	300705			544007	481841	372731	386641
A2RUR9;Q8IYA2	A2RUR9;Q8IYA2	C144A_HUMAN;C144C_HUMAN	CCDC144A;CCDC144CP	Coiled-coil domain-containing protein 144A	445621	208739	195470	51782.4	25928.7	82731.3	261444	861555	100306	148227	84929.9	27966.7		156125	164110	136590	51658.5	37343.4
A5A3E0	A0JP26;P0CG39;A5A3E0;Q6S8J3;A0A0A6YYL3;Q6S545;Q6S8J7;P0CG38;B2RU33;H3BUK9;A6NI47;Q6S5H5	POTEF_HUMAN	POTEF	POTE ankyrin domain family member F	1.07181e+06	2.49125e+06	3.94419e+06	1.06326e+06	1.07676e+06	412989		1.1261e+06	950163	1.57212e+06	808081	797794	483091	898398	1.15666e+06	1.0837e+06	779543	819125
A5A3E0;P60709;P62736;P63261;P63267	P0CG39;A5A3E0;Q6S8J3;P68032;P0CG38;P68133;P60709;P63261;P62736;P63267	ACTA_HUMAN;ACTB_HUMAN;ACTG_HUMAN;ACTH_HUMAN;POTEF_HUMAN	ACTA2;ACTB;ACTG1;ACTG2;POTEF	POTE ankyrin domain family member F	8.26169e+07	7.52342e+07	9.03691e+07	7.92168e+07	6.8418e+07	6.23536e+07	7.22168e+07	7.80544e+07	8.06614e+07	7.89569e+07	7.53904e+07	6.24563e+07	4.75404e+07	1.07894e+08	8.6873e+07	7.57051e+07	6.79329e+07	6.57912e+07
A5A3E0;P60709;P63261	P0CG39;A5A3E0;Q6S8J3;P0CG38;Q9BYX7;P60709;P63261	ACTB_HUMAN;ACTG_HUMAN;POTEF_HUMAN	ACTB;ACTG1;POTEF	POTE ankyrin domain family member F	1.88155e+07	1.42497e+07	2.53507e+07	2.00453e+07	1.41011e+07	2.49898e+07	1.3584e+07	2.78299e+07	3.18243e+07	8.10796e+06	2.05847e+07	2.49747e+07	2.73366e+07	2.13019e+07	2.37019e+07	1.9603e+07	2.37123e+07	2.79802e+07
A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	291572	191176	415846			239003	164682	402897	232639	593896	39033.9	115875		741206	173659	334750	182813	130238
A6NCE7;Q9GZQ8	A6NCE7;Q9GZQ8;Q9H492	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	451480	314826	732030	697546	782335	1.02121e+06		485246	492977	542908	1.02043e+06	902274	543681	181845	609393	520860	1.19049e+06	714017
A6NHL2	A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3		995629	546030	300320	338445	73113.2		469047	399877		727020	459874		505637	377063	905496	733237	361983
A6NKG5	A6NKG5	RTL1_HUMAN	RTL1	Retrotransposon-like protein 1		239716	332510		115676				211389	392030	56646.4	99302.2		498061	164110	153746	79372.9	126447
A6NKH3;P61513	P61513;A6NKH3	RL37A_HUMAN;RL37L_HUMAN	RPL37A;RPL37AP8	Putative 60S ribosomal protein L37a-like protein	945157	325084		570774	202494	200594		324082	160264	118941	136264	134557			180771		176597	103936
A8MUV8	A8MUV8	ZN727_HUMAN	ZNF727	Putative zinc finger protein 727	1.54526e+06	1.67879e+06	2.56311e+06	1.74329e+06	520061	1.73123e+06	787238	3.10327e+06	1.04526e+06	2.80898e+06	292006	459996	1.27706e+06	1.9711e+06	989470	1.20522e+06	286230	982281
A8MWD9;P62308	A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15		423926	352819	521188	385766	594057		466880	469221	864383	369624	525403			516561	378309	389150	524287
B5ME19;Q99613	Q99613;B5ME19	EIF3C_HUMAN;EIFCL_HUMAN	EIF3C;EIF3CL	Eukaryotic translation initiation factor 3 subunit C-like protein	777618	1.06719e+06	751090	998240	906647	734421		703793	1.15599e+06	917983	788855	702185	382713	299758	1.1475e+06	1.12126e+06	645861	1.00782e+06
B7Z1M9	B7Z1M9	C2D4D_HUMAN	C2CD4D	C2 calcium-dependent domain-containing protein 4D		667375			158127	366662		884606	235257					618835	249066	321997		153492
B9A064	B9A064	IGLL5_HUMAN	IGLL5	Immunoglobulin lambda-like polypeptide 5	5.3146e+06	5.13845e+06	7.6262e+06	5.03765e+06	2.58542e+06	4.47783e+06	1.05326e+07	5.58458e+06	3.77159e+06	6.04545e+06	1.47941e+06	1.61557e+06	3.12004e+06	7.54343e+06	2.3192e+06	4.19517e+06	1.13321e+06	2.88355e+06
C9J202;Q6GMV1;Q9BT22	C9J202;Q6GMV1;Q9BT22	AG1L2_HUMAN;ALG1L_HUMAN;ALG1_HUMAN	ALG1;ALG1L;ALG1L2	Putative glycosyltransferase ALG1L2	5.70844e+06	1.74962e+06	2.72208e+06		258646	8.32771e+06			5.0389e+06		2.52786e+06	101643		8.52836e+06	997982	4.23702e+06	2.96031e+06	5.90905e+06
E9PAV3;Q13765	Q13765;E9PAV3;Q9BZK3	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	1.4616e+06	1.41745e+06	1.37078e+06	2.40265e+06	1.62547e+06	2.09185e+06	2.47866e+06	1.65588e+06	2.38217e+06	1.54699e+06	2.26046e+06	2.41333e+06	3.14555e+06	1.41431e+06	2.45878e+06	2.31714e+06	2.51137e+06	2.24399e+06
F8WCM5;P01308	P01308;F8WCM5	INSR2_HUMAN;INS_HUMAN	INS;INS-IGF2	Insulin, isoform 2	5.14877e+07	3.61896e+07	3.75961e+07	6.56772e+07	1.4544e+07	1.9441e+07	6.8367e+07	1.14601e+08	4.43791e+07	1.11197e+08	8.11545e+06	1.17248e+07	5.52451e+07	6.61656e+07	4.31827e+07	2.81112e+07	1.02254e+07	1.62266e+07
O00115	O00115	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha			213435	170747	1.01015e+06	508651			206304		1.89746e+06	1.17957e+06		321969	493281	191782	1.88485e+06	755267
O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	272667	233030	232783	261569	305972	661899		485775	357110	284338	289462	363471	1.1663e+06		210735	380003	331703	360053
O00154	O00154	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	643472	507626	586516	597725	824126	725667	715738	678572	625363	509641	931057	879510		610696	578369	649960	890482	722399
O00159	O00159	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	36248.6	53679.8	72244.1	34847.7	89904.7				46735.9		58322.2	86948.1			63126.3	57513.8	42226.4	82180.6
O00231	O00231	PSD11_HUMAN	PSMD11	26S proteasome non-ATPase regulatory subunit 11	586092	680491	441114	983050	850983	470923	1.06099e+06	829173	881557	377780	713137	759155		384937	985721	763096	742835	852870
O00232	O00232	PSD12_HUMAN	PSMD12	26S proteasome non-ATPase regulatory subunit 12	649754	743395	500141	668551	497978	371098	946470	663333	719348	706105	505717	464769		379649	855977	708505	475273	601466
O00233	O00233	PSMD9_HUMAN	PSMD9	26S proteasome non-ATPase regulatory subunit 9		108493			79445.3	80240.4		76648.1	75568.4	99286.7	150319	147065			126566	166618	124605	112281
O00299	O00299	CLIC1_HUMAN	CLIC1	Chloride intracellular channel protein 1	3.74532e+06	3.86701e+06	3.6381e+06	2.78033e+06	4.37168e+06	4.04881e+06	4.50074e+06	3.72121e+06	3.20413e+06	3.76292e+06	5.26992e+06	3.99213e+06	6.96179e+06	3.38067e+06	3.74116e+06	4.07173e+06	5.05221e+06	4.00418e+06
O00300	O00300	TR11B_HUMAN	TNFRSF11B	Tumor necrosis factor receptor superfamily member 11B		9283.24	326833	244492	271565	346373		64846.6	283044	279577	328633	558608		191556	364721	616701	376412	385887
O00303	O00303	EIF3F_HUMAN	EIF3F	Eukaryotic translation initiation factor 3 subunit F	669102	255245	167282	349709	338831	213801		260205	389060	752864	345348	317663			487852	324253	229514	292538
O00391	O00391	QSOX1_HUMAN	QSOX1	Sulfhydryl oxidase 1	4.71012e+06	3.40507e+06	2.1076e+07	2.21467e+07	4.09142e+07	2.92273e+07	8.90074e+06	9.06798e+06	1.94583e+07	1.49577e+07	3.42394e+07	3.07312e+07	1.09711e+07	2.34255e+07	2.89528e+07	2.60009e+07	3.42753e+07	2.95308e+07
O00410	O00410	IPO5_HUMAN	IPO5	Importin-5	486296	444389	478417	421017	538739	524543	1.14815e+06	396738	595433	428689	621431	563916		482741	632215	586013	689488	610282
O00429	O00429	DNM1L_HUMAN	DNM1L	Dynamin-1-like protein	587862	843591	536864	399005	323196	221513		802840	521490	574892	238513	290322		458223	505061	554823	263529	239669
O00451	O00451	GFRA2_HUMAN	GFRA2	GDNF family receptor alpha-2	784957	509159	989432	572215	204459	256785	495272	634412	329273	653056	124797	188838			253526	377580	129749	260964
O00468	O00468	AGRIN_HUMAN	AGRN	Agrin	570326	853021	4.32572e+06	4.20927e+06	7.25957e+06	2.90994e+06	2.65978e+06	1.99509e+06	4.09164e+06	2.67328e+06	5.38977e+06	3.31491e+06	1.89171e+06	5.52798e+06	5.59029e+06	4.92207e+06	5.27918e+06	2.99285e+06
O00469	O00469	PLOD2_HUMAN	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	1.25135e+06	1.24747e+06	6.48378e+06	6.49191e+06	1.52693e+07	1.10248e+07	2.14344e+06	1.79341e+06	4.77198e+06	5.0309e+06	1.3976e+07	1.22972e+07	3.26515e+06	5.5465e+06	6.98446e+06	9.1854e+06	1.41939e+07	1.08324e+07
O00487	O00487	PSDE_HUMAN	PSMD14	26S proteasome non-ATPase regulatory subunit 14	527070	406030	477793	609857	557158	294500		553191	659617	587021	507844	423128	523925	264158	734242	412579	535565	370813
O00505	O00505	IMA4_HUMAN	KPNA3	Importin subunit alpha-4	158563				233722	307650		479122	302369	285081	325852	303159			345734	278595	314409	349520
O00505;O00629	O00629;O00505	IMA3_HUMAN;IMA4_HUMAN	KPNA3;KPNA4	Importin subunit alpha-4	217369	102600	89793	176603	341935	133296			331617		468015	420344			371552	293647	400033	362736
O00506;Q9P289	Q9P289;O00506	STK25_HUMAN;STK26_HUMAN	STK25;STK26	Serine/threonine-protein kinase 25					206737	155193			220273		269410	238738			152542	180652	227393	277107
O00560	O00560	SDCB1_HUMAN	SDCBP	Syntenin-1	317378	478690	1.27258e+06	1.55404e+06	5.29855e+06	3.76128e+06	366783	583848	1.36852e+06	1.56379e+06	7.14198e+06	6.06212e+06	797081	1.93636e+06	2.84723e+06	2.82066e+06	7.50738e+06	4.04019e+06
O00567	O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56			336930	268157	156026	563747			331493	283143	194493	288816			174324	382100	219589	423511
O00571	O00571;Q9NQI0;O15523	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	929744	825287	544741	944832	778310	492342	807627	666153	1.06946e+06	595638	770945	729063	818573	374390	1.26356e+06	839875	839791	633324
O00571;P17844;Q92841	O00571;Q92841;P17844;O15523	DDX17_HUMAN;DDX3X_HUMAN;DDX5_HUMAN	DDX17;DDX3X;DDX5	ATP-dependent RNA helicase DDX3X	202706	315124	215384	236304	170245	227858		291381	234218	211578	223767	229298		279976	195841	326629	188093	203199
O00592	O00592	PODXL_HUMAN	PODXL	Podocalyxin			297447		422465	246713		57306.8	291862	129235	329694	330361			316520	174539	317166	373662
O00622	O00622	CCN1_HUMAN	CCN1	CCN family member 1	1.25928e+06	973897	7.23595e+06	1.01929e+07	1.43952e+07	1.6743e+07	2.03925e+06	2.58943e+06	6.59117e+06	5.79785e+06	1.97163e+07	2.06267e+07	4.73207e+06	9.3137e+06	1.10702e+07	2.32848e+07	2.06771e+07	1.23922e+07
O00625	O00625	PIR_HUMAN	PIR	Pirin	41979.1			57926.6	10700				109604	82736.7	82027.9	58497.8			44708.8		54325.5	92993.5
O00629	O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	208478	211460	151973	208620	229166	216609		169637	228803	285732	304619	255719		118851	314125	253101	286414	274553
O00754	O00754	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	984809	706667	1.15793e+06	1.05011e+06	609939	679965	1.16037e+06	1.17656e+06	876577	931194	477438	360272		1.8004e+06	714302	683074	684474	637855
O14493;O15551;O95484;P56747	O14493;O95484;O15551;P56747	CLD3_HUMAN;CLD4_HUMAN;CLD6_HUMAN;CLD9_HUMAN	CLDN3;CLDN4;CLDN6;CLDN9	Claudin-4			398854		560586	545118			247855		931952	1.02488e+06			394967	623665	1.00519e+06	948605
O14530	O14530	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9		139684	30055.9	115668	195706			30163.4	148337		246050	133187			202771	79679	236159	87042.4
O14602;P47813	P47813;O14602	IF1AX_HUMAN;IF1AY_HUMAN	EIF1AX;EIF1AY	Eukaryotic translation initiation factor 1A, Y-chromosomal	229687	116362	188019	224973	199914	234433		194687	192814	123184	220191	274351		375841	179317	139343	160225	319908
O14657	O14657	TOR1B_HUMAN	TOR1B	Torsin-1B			792362	753251	1.21902e+06	1.01382e+06			708339	386588	1.08034e+06	1.11985e+06			902039	1.18263e+06	1.05669e+06	785496
O14672	O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	408466		1.14265e+06	1.1439e+06	3.07054e+06	2.25891e+06		578797	1.4458e+06	971912	2.62695e+06	2.9501e+06		779985	1.75273e+06	1.69e+06	2.53325e+06	2.57273e+06
O14737	O14737	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5		148136	147277	73325.3	155413	300454		124566	165987	116867	269115	179553			186070	230645	349504	334087
O14744	O14744	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	1.20357e+06	1.2646e+06	866149	1.09155e+06	1.01519e+06	646885		943912	1.23969e+06	871298	1.11656e+06	1.01317e+06	1.0008e+06	757520	1.30621e+06	1.27517e+06	1.13331e+06	836761
